fishId,fishNo,balance_before,balance_after,difference,elapsed_seconds
796,1,1629699.68,1629699.68,0.00,155
798,1,1629699.68,1629699.68,0.00,155
799,1,1629699.68,1629399.68,-300.00,156
800,1,1629399.68,1629399.68,0.00,156
801,1,1629399.68,1629399.68,0.00,157
802,1,1629399.68,1629399.68,0.00,158
816,1,1629399.68,1629399.68,0.00,158
817,1,1629399.68,1629399.68,0.00,159
818,1,1629599.68,1629599.68,0.00,159
820,1,1629599.68,1629599.68,0.00,160
821,1,1629599.68,1629599.68,0.00,160
823,1,1629599.68,1629599.68,0.00,161
826,1,1629599.68,1629599.68,0.00,161
827,1,1629699.68,1629699.68,0.00,162
829,1,1629899.68,1629899.68,0.00,162
831,1,1629899.68,1629899.68,0.00,163
832,1,1629899.68,1629899.68,0.00,163
835,1,1629899.68,1629899.68,0.00,164
838,1,1629899.68,1629899.68,0.00,165
840,1,1629599.68,1629599.68,0.00,165
841,1,1629599.68,1629599.68,0.00,166
842,1,1629599.68,1629599.68,0.00,166
843,1,1629599.68,1629599.68,0.00,167
844,1,1629399.68,1629399.68,0.00,167
845,1,1629399.68,1629399.68,0.00,168
847,1,1629399.68,1629399.68,0.00,168
848,1,1629399.68,1629099.68,-300.00,169
849,1,1629099.68,1629099.68,0.00,169
851,1,1629099.68,1629099.68,0.00,170
857,1,1629099.68,1629099.68,0.00,171
858,1,1628699.68,1628699.68,0.00,171
859,1,1628699.68,1628699.68,0.00,172
860,1,1628699.68,1628699.68,0.00,172
864,1,1628599.68,1628599.68,0.00,173
865,1,1628599.68,1628599.68,0.00,173
879,1,1628599.68,1628599.68,0.00,174
880,1,1628599.68,1628599.68,0.00,175
882,1,1629199.68,1629199.68,0.00,175
888,1,1629199.68,1629199.68,0.00,176
910,1,1629199.68,1628999.68,-200.00,176
911,1,1628999.68,1628999.68,0.00,177
912,1,1628999.68,1628999.68,0.00,177
916,1,1628699.68,1628699.68,0.00,178
917,1,1628699.68,1628699.68,0.00,178
918,1,1628499.68,1628499.68,0.00,179
919,1,1628499.68,1628499.68,0.00,179
920,1,1628499.68,1628499.68,0.00,180
926,1,1628499.68,1628399.68,-100.00,180
927,1,1628399.68,1628399.68,0.00,181
928,1,1628399.68,1628399.68,0.00,182
929,1,1628999.68,1628999.68,0.00,182
930,1,1628999.68,1628999.68,0.00,183
932,1,1628999.68,1628999.68,0.00,183
933,1,1628999.68,1628699.68,-300.00,184
934,1,1628699.68,1628699.68,0.00,184
935,1,1628699.68,1628699.68,0.00,185
937,1,1628699.68,1628699.68,0.00,185
938,1,1628699.68,1628699.68,0.00,186
939,1,1628699.68,1628699.68,0.00,186
940,1,1629799.68,1629799.68,0.00,187
942,1,1629799.68,1629799.68,0.00,187
943,1,1629799.68,1629799.68,0.00,188
